record_id,lat,long,common_name,scientific_name,abbreviation,count
1083001,-45.916666666666664,165.4,Royal / Wandering albatross,Diomedea epomophora / sanfordi / antipodensis / exulans,DIOEPOSANANTEXU,6
1083001,-45.916666666666664,165.4,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,2
1083001,-45.916666666666664,165.4,Cape petrel,Daption capense,DAPCAP,8
1083001,-45.916666666666664,165.4,Fairy prion,Pachyptila turtur,PACTUR,2
1083001,-45.916666666666664,165.4,Sooty shearwater,Puffinus griseus,PUFGRI,4
1084001,-35.53333333333333,125,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,10
1084001,-35.53333333333333,125,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,2
1084001,-35.53333333333333,125,Sooty shearwater,Puffinus griseus,PUFGRI,18
1084002,-37.666666666666664,132.25,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,10
1084002,-37.666666666666664,132.25,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,2
1084002,-37.666666666666664,132.25,Cape petrel,Daption capense,DAPCAP,2
1084002,-37.666666666666664,132.25,Prion (unidentified),Pachyptila sp,PACSP,2
1084002,-37.666666666666664,132.25,Sooty shearwater,Puffinus griseus,PUFGRI,8
1084002,-37.666666666666664,132.25,Seabird (Unidentified),NA,SEABUN,1
1084003,-40,162,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,14
1084003,-40,162,Black-browed albatross,Diomedea impavida / melanophrys,DIOIMPMEL,4
1084003,-40,162,Giant petrel,Macronectes sp.,MACSP,3
1084003,-40,162,Cape petrel,Daption capense,DAPCAP,8
1084003,-40,162,Fairy prion,Pachyptila turtur,PACTUR,18
1086001,-36.166666666666664,174.91666666666666,Fairy prion,Pachyptila turtur,PACTUR,6
1086001,-36.166666666666664,174.91666666666666,Black petrel,Procellaria parkinsoni,PROPAR,55
1086001,-36.166666666666664,174.91666666666666,Australasian gannet,Morus serrator,MORSER,12
1086002,-35.416666666666664,174.56666666666666,Wilson's storm petrel,Oceanites oceanicus,OCEOCE,22
1086002,-35.416666666666664,174.56666666666666,Australasian gannet,Morus serrator,MORSER,7
1086003,-35.25,168,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,4
1086003,-35.25,168,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,2
1086003,-35.25,168,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,3
1086003,-35.25,168,Northern giant petrel,Macronectes halli,MACHAL,3
1086003,-35.25,168,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,1
1086003,-35.25,168,Sooty shearwater,Puffinus griseus,PUFGRI,1
1086004,-35.3,167.33333333333334,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,4
1086004,-35.3,167.33333333333334,Wandering albatross,Diomedea antipodensis / exulans,DIOANTEXU,2
1086004,-35.3,167.33333333333334,Royal albatross,Diomedea epomophora / sanfordi,DIOEPOSAN,3
1086004,-35.3,167.33333333333334,Northern giant petrel,Macronectes halli,MACHAL,1
