id,rwa_score,testelapse,education,engnat,education_level,urban,gender,age,hand,familysize
1,1.35,129,3,1,University degree,Suburban,Male,18,Right,2
2,1.95,193,4,1,Graduate degree,Rural,Male,62,Right,3
3,4.7,238,1,2,Less than high school,Suburban,Male,16,Right,2
4,1.25,140,3,1,University degree,Suburban,Female,59,Right,3
5,2.6,455,2,1,High School,Urban,Female,49,Both,1
6,2.95,198,2,1,High School,Urban,Male,29,Right,3
7,1.2,515,2,1,High School,Urban,Female,22,Right,1
8,2.25,390,2,2,High School,Urban,Male,55,Left,8
9,1.05,269,2,1,High School,Urban,Male,24,Right,3
10,1.8,162,2,1,High School,Suburban,Female,18,Right,2
11,1.25,165,2,1,High School,Suburban,Female,15,Left,2
12,2.45,189,3,1,University degree,Suburban,Female,35,Left,2
13,1.45,116,2,1,High School,Rural,Male,50,Right,3
14,1.6,237,3,2,University degree,Suburban,Male,31,Right,3
15,5.7,193,2,2,High School,Urban,Female,18,Right,2
16,2.2,267,3,2,University degree,Rural,Female,28,Right,4
17,1.7,243,2,1,High School,Urban,Female,18,Right,3
18,1.15,159,1,1,Less than high school,Urban,Female,18,Right,2
19,4.65,148,3,2,University degree,Urban,Male,20,Right,2
20,1.65,141,4,2,Graduate degree,Urban,Female,32,Right,1
21,1.55,145,3,1,University degree,Suburban,Male,53,Right,4
22,2.35,388,3,1,University degree,Suburban,Female,28,Right,3
23,1.5,3435,3,1,University degree,Suburban,Male,20,Right,2
24,4.7,410,4,1,Graduate degree,Rural,Female,26,Right,5
25,1.25,162,4,1,Graduate degree,Urban,Female,31,Right,1
26,2.8,275,2,1,High School,Urban,Female,15,Right,2
27,2.75,305,2,2,High School,Suburban,Male,24,Right,4
28,2.05,114,4,1,Graduate degree,Suburban,Female,32,Right,2
29,1.2,134,4,1,Graduate degree,Suburban,Male,44,Right,5
30,5.35,176,0,1,NA,Suburban,Female,62,Right,2
31,4.2,170,3,1,University degree,Urban,Female,26,Right,3
32,1.85,262,3,1,University degree,Suburban,Female,30,Right,2
33,2.2,485,3,2,University degree,Suburban,Other,56,Left,2
34,1.65,268,2,2,High School,Suburban,Male,18,Right,2
35,5.3,224,3,1,University degree,Suburban,Male,58,Right,1
36,1.55,72,2,1,High School,Suburban,Male,16,Both,2
37,7.55,86,2,1,High School,Rural,Male,14,Right,3
38,3.5,170,2,1,High School,Suburban,Female,17,Right,2
39,2.35,179,2,1,High School,Suburban,Female,61,Right,2
40,3.65,194,2,1,High School,Suburban,Male,16,Right,2
41,3.1,231,1,1,Less than high school,Rural,Female,48,Right,3
42,2.35,134,2,1,High School,Urban,Male,17,Both,2
43,1.5,139,3,1,University degree,Suburban,Male,25,Right,3
44,2.6,273,2,1,High School,Urban,Female,17,Right,4
45,3.8,174,2,2,High School,Suburban,Male,23,Both,2
46,1.75,197,1,1,Less than high school,Suburban,Other,16,Right,4
47,1.6,441,2,2,High School,Suburban,Male,18,Right,2
48,5.35,182,3,1,University degree,Rural,Male,46,Right,2
49,2.5,145,2,1,High School,Urban,Male,34,Right,3
50,1.65,227,2,2,High School,Urban,Male,18,Both,1
51,6.2,118,2,2,High School,Suburban,Male,15,Right,4
52,2.15,165,3,1,University degree,Rural,Male,18,Right,2
53,3,126,1,1,Less than high school,Suburban,Female,16,Right,4
54,4.85,1275,3,1,University degree,Urban,Male,49,Right,7
55,1.95,178,1,1,Less than high school,Suburban,Female,15,Right,2
56,1.35,201,3,1,University degree,Suburban,Female,30,Right,3
57,9,140,3,1,University degree,Urban,Male,22,Right,5
58,5.4,213,1,2,Less than high school,Urban,Male,15,Right,1
59,1.8,311,2,1,High School,Suburban,Male,14,Right,2
60,2.95,371,3,2,University degree,Urban,Male,24,Right,2
61,1.95,665,1,1,Less than high school,Suburban,Female,15,Left,2
62,2.55,177,2,1,High School,Urban,Female,21,Left,3
63,3.5,147,1,1,Less than high school,Suburban,Male,15,Right,1
64,4.95,227,3,1,University degree,Suburban,Male,53,Right,5
65,2.2,165,1,1,Less than high school,Urban,Female,15,Right,2
66,2,467,3,1,University degree,Suburban,Male,51,Right,2
67,2.9,309,2,1,High School,Suburban,Male,19,Right,3
68,1.4,146,2,1,High School,Suburban,Female,17,Right,2
69,5.15,252,2,1,High School,Urban,Male,42,Right,3
70,1.75,130,2,2,High School,Urban,Female,18,Right,0
71,1.75,156,1,2,Less than high school,Rural,Female,16,Right,3
72,1.7,433,2,2,High School,Rural,Female,18,Right,2
73,3.35,321,1,2,Less than high school,Suburban,Female,17,Right,2
74,4.8,141,4,1,Graduate degree,Rural,Male,36,Right,1
75,1.6,470,3,1,University degree,Urban,Female,19,Right,1
76,6.3,133,3,2,University degree,Urban,Female,25,Right,2
77,2.3,195,2,1,High School,Urban,Male,19,Right,3
78,1.35,230,4,1,Graduate degree,Urban,Male,24,Right,2
79,2.7,219,2,1,High School,Suburban,Female,21,Right,2
80,3.55,121,3,1,University degree,NA,Male,49,Right,2
81,2.6,354,3,1,University degree,Suburban,Male,61,Right,3
82,4.3,162,3,1,University degree,Urban,Male,23,Right,3
83,1.7,294,3,1,University degree,Suburban,Male,24,Right,3
84,3.35,84,2,1,High School,Urban,Male,16,Right,2
85,4.35,887,3,2,University degree,Suburban,Male,24,Right,1
86,1.25,165,2,1,High School,Urban,Female,17,Right,2
87,1.7,199,4,1,Graduate degree,Rural,Male,28,Right,2
88,1.25,228,2,1,High School,Suburban,Female,14,Right,3
89,1.45,448,3,1,University degree,Rural,Female,23,Right,4
90,1.75,150,0,2,NA,Urban,Female,18,Right,2
91,2.15,351,1,1,Less than high school,Suburban,Male,16,Right,3
92,1.8,203,4,2,Graduate degree,Rural,Male,33,Left,1
93,1.15,110,2,1,High School,Suburban,Female,26,Right,3
94,5.25,236,4,1,Graduate degree,Suburban,Female,33,Both,1
95,1.95,427,2,2,High School,Suburban,Male,23,Right,3
96,1.35,129,2,1,High School,Urban,Male,17,Right,2
97,7.5,377,1,1,Less than high school,Urban,Female,15,Right,3
98,3.9,171,1,1,Less than high school,Suburban,Female,14,Right,3
99,1.7,179,3,2,University degree,Urban,Female,22,Right,3
100,3,228,3,1,University degree,Suburban,Female,64,Right,3
101,2.25,411,3,1,University degree,Urban,Male,69,Right,1
102,1.75,165,2,1,High School,Urban,Female,44,Right,5
103,2.3,219,3,1,University degree,Rural,Female,41,Right,2
104,1.7,139,2,1,High School,Urban,Female,46,Right,4
105,1.6,503,4,1,Graduate degree,Urban,Male,42,Left,1
106,3.65,567,1,1,Less than high school,Suburban,Male,15,Both,2
107,1.65,304,4,1,Graduate degree,Suburban,Female,37,Right,5
108,3.35,213,2,2,High School,Suburban,Male,19,Right,2
109,4.25,378,4,2,Graduate degree,Urban,Male,32,Right,2
110,4.8,254,2,1,High School,Urban,Male,16,Right,3
111,4.1,214,4,1,Graduate degree,Suburban,Male,44,Right,2
112,2,235,3,2,University degree,Urban,Male,21,Right,2
113,3,252,2,1,High School,Suburban,Female,19,Right,2
114,7.1,225,4,1,Graduate degree,Urban,Male,29,Right,2
115,5.25,319,4,2,Graduate degree,Urban,Male,40,Right,2
